,Show_Id,Title,Director,Country,Release_Date,Rating,Duration,Type,No of Episodes
180,s189,A House of Blocks,,Taiwan,2017-09-01,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Horror",7.0
183,s192,A Korean Odyssey,,South Korea,2019-03-05,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",20.0
187,s196,A Lion in the House,"Steven Bognar, Julia Reichert",United States,2020-11-10,TV-14,1 Season,TV Shows,20.0
189,s198,A Little Help with Carol Burnett,,United States,2018-05-04,TV-G,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",12.0
190,s199,A Little Thing Called First Love,,China,2019-10-26,TV-G,1 Season,"International TV Shows, Romantic TV Shows, Teen TV Shows",36.0
191,s200,A Love So Beautiful,,South Korea,2020-12-28,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",24.0
194,s203,A Man Called God,,South Korea,2019-03-12,TV-14,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",24.0
204,s214,A Perfect Crime,,Germany,2020-09-25,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",4.0
209,s219,A Queen Is Born,Carla Barros,Brazil,2020-11-11,TV-14,1 Season,"International TV Shows, Reality TV",6.0
216,s226,A Series of Unfortunate Events,,United States,2019-01-01,TV-PG,3 Seasons,"Kids' TV, TV Action & Adventure, TV Comedies",25.0
226,s236,A Taiwanese Tale of Two Cities,,Taiwan,2019-01-27,TV-MA,1 Season,"International TV Shows, TV Dramas",20.0
230,s240,A Thousand Goodnights,,Taiwan,2019-06-01,TV-14,1 Season,"International TV Shows, TV Dramas",20.0
232,s242,A Touch of Green,,Taiwan,2020-07-01,TV-MA,1 Season,"International TV Shows, TV Dramas",31.0
238,s249,A Very Secret Service,,France,2018-07-30,TV-MA,2 Seasons,"International TV Shows, TV Comedies",24.0
246,s257,A Year In Space,,United States,2019-11-01,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV",12.0
248,s260,A.D. Kingdom and Empire,,United States,2017-12-15,TV-14,1 Season,TV Dramas,12.0
249,s261,A.I.C.O.,Kazuya Murata,Japan,2018-03-09,TV-14,1 Season,"Anime Series, International TV Shows",20.0
265,s277,Abby Hatcher,Kyran Kelly,"United States, Canada",2020-07-01,TV-Y,1 Season,Kids' TV,52.0
273,s285,Abnormal Summit,"Jung-ah Im, Seung-uk Jo",South Korea,2017-08-04,TV-PG,2 Seasons,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows",175.0
277,s289,Abstract: The Art of Design,,United States,2019-09-25,TV-14,2 Seasons,Docuseries,14.0
278,s290,Absurd Planet,,United States,2020-04-22,TV-PG,1 Season,"Docuseries, Science & Nature TV, TV Comedies",12.0
279,s291,Abyss,,South Korea,2019-05-07,TV-14,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",16.0
283,s295,Accidentally in Love,,China,2018-10-19,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",20.0
292,s304,Ad Vitam,,France,2019-11-01,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",20.0
295,s307,Adam Ruins Everything,,United States,2018-09-30,TV-14,1 Season,TV Comedies,65.0
308,s320,Afflicted,,United States,2018-08-10,TV-MA,1 Season,"Docuseries, Reality TV, Science & Nature TV",20.0
310,s322,Africa,,United Kingdom,2016-04-28,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows",7.0
311,s323,Afronta! Facing It!,Juliana Vicente,Brazil,2020-10-31,TV-PG,1 Season,"Docuseries, International TV Shows",20.0
313,s325,After Life,,United Kingdom,2020-04-24,TV-MA,2 Seasons,"British TV Shows, International TV Shows, TV Comedies",18.0
322,s334,Against the Tide,,Singapore,2017-07-01,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",20.0
324,s336,Age Gap Love,,United Kingdom,2019-07-12,TV-MA,1 Season,"British TV Shows, Reality TV, Romantic TV Shows",9.0
325,s338,Age of Rebellion,Peter Ho,Taiwan,2018-09-01,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",15.0
326,s339,Age of Tanks,,"Germany, France, Russia",2018-11-10,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV",4.0
327,s340,Agent,,"Mauritius, South Africa",2019-12-20,TV-MA,1 Season,"International TV Shows, TV Dramas",20.0
328,s341,Agent Raghav,,India,2017-04-15,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",34.0
329,s342,Aggretsuko,,Japan,2020-08-27,TV-14,3 Seasons,"Anime Series, International TV Shows",51.0
336,s349,Ainori Love Wagon: African Journey,,Japan,2020-01-30,TV-14,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",23.0
337,s350,Ainori Love Wagon: Asian Journey,,Japan,2019-03-28,TV-MA,2 Seasons,"International TV Shows, Reality TV, Romantic TV Shows",44.0
338,s351,Ainsley Eats the Streets,,United Kingdom,2019-07-12,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows",10.0
345,s358,AJ and the Queen,,United States,2020-01-10,TV-14,1 Season,"TV Comedies, TV Dramas",10.0
347,s361,AJIN: Demi-Human,,Japan,2016-12-27,TV-MA,2 Seasons,"Anime Series, International TV Shows",20.0
350,s364,Akame ga Kill!,,Japan,2020-03-01,TV-14,1 Season,"Anime Series, Crime TV Shows, International TV Shows",49.0
351,s365,Akbar Birbal,,India,2020-03-31,TV-G,1 Season,"Kids' TV, TV Comedies, TV Dramas",20.0
352,s368,Al Hayba,,Lebanon,2018-09-15,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",150.0
364,s381,Alexa & Katie,,United States,2020-06-13,TV-G,4 Seasons,"Kids' TV, TV Comedies",40.0
373,s390,Alias Grace,,Canada,2017-11-03,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",6.0
376,s394,Alice in Borderland,,Japan,2020-12-10,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Mysteries",17.0
380,s399,Alien Worlds,,United Kingdom,2020-12-02,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows",4.0
386,s405,All About the Washingtons,,United States,2018-08-10,TV-PG,1 Season,TV Comedies,10.0
387,s406,All American,,United States,2020-03-17,TV-14,2 Seasons,"TV Dramas, Teen TV Shows",119.0
391,s410,All For Love,,Colombia,2020-06-26,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",20.0
393,s412,All Hail King Julien,,United States,2017-12-01,TV-Y7,5 Seasons,"Kids' TV, TV Comedies",66.0
407,s427,Almost Happy,Hernán Guerschuny,Argentina,2020-05-02,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",18.0
414,s435,Alphablocks,,United Kingdom,2020-05-25,TV-Y,5 Seasons,Kids' TV,70.0
416,s438,Altered Carbon,,United States,2020-02-27,TV-MA,2 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas",18.0
419,s441,Always a Witch,,Colombia,2020-02-28,TV-14,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies",19.0
428,s450,Amazing Interiors,,United Kingdom,2018-07-20,TV-PG,1 Season,"British TV Shows, International TV Shows, Reality TV",12.0
430,s452,America's Book of Secrets,,United States,2019-09-15,TV-14,1 Season,Docuseries,43.0
431,s453,America's Next Top Model,,United States,2020-11-15,TV-14,2 Seasons,Reality TV,322.0
436,s458,American Crime,,United States,2017-05-30,TV-MA,3 Seasons,"Crime TV Shows, TV Dramas",29.0
437,s459,American Crime Story: The People v. O.J. Simpson,,United States,2019-03-06,TV-MA,1 Season,"Crime TV Shows, TV Dramas",20.0
439,s461,American Experience: The Circus,Sharon Grimberg,United States,2019-05-02,TV-PG,1 Season,Docuseries,20.0
447,s469,American Horror Story,,United States,2020-11-13,TV-MA,9 Seasons,"TV Horror, TV Mysteries, TV Thrillers",133.0
450,s472,American Odyssey,,United States,2016-04-05,TV-14,1 Season,"TV Dramas, TV Thrillers",14.0
454,s476,American Vandal,,United States,2018-09-14,TV-MA,2 Seasons,"Crime TV Shows, TV Comedies, Teen TV Shows",16.0
457,s479,AMO,,Philippines,2018-04-09,TV-MA,1 Season,"International TV Shows, TV Dramas",13.0
473,s495,An Innocent Mistake,,Taiwan,2017-01-01,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",16.0
483,s505,Ancient Aliens,,United States,2019-09-17,TV-14,1 Season,"Docuseries, Science & Nature TV",269.0
493,s516,Angel 'N' Devil,,Taiwan,2019-04-30,TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",26.0
494,s517,Angel Beats!,,Japan,2019-07-15,TV-PG,1 Season,"Anime Series, International TV Shows",16.0
501,s524,Angry Birds,,Finland,2019-03-16,TV-Y7,3 Seasons,"Kids' TV, TV Comedies",20.0
508,s532,Anitta: Made In Honório,"Andrucha Waddington, Pedro Waddington",Brazil,2020-12-16,TV-MA,1 Season,"Docuseries, International TV Shows",6.0
510,s534,Anjaan: Rural Myths,,India,2018-12-15,TV-14,1 Season,"International TV Shows, TV Horror, TV Thrillers",15.0
511,s535,Anjaan: Special Crimes Unit,,India,2018-05-01,TV-14,1 Season,"International TV Shows, TV Horror, TV Mysteries",65.0
516,s540,Anne with an E,,Canada,2020-01-03,TV-PG,3 Seasons,"International TV Shows, TV Dramas, Teen TV Shows",27.0
517,s541,Anohana: The Flower We Saw That Day,,Japan,2019-07-15,TV-14,1 Season,"Anime Series, International TV Shows, Teen TV Shows",11.0
520,s544,Another Life,,United States,2019-07-25,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Mysteries",20.0
521,s545,Another Miss Oh,,South Korea,2019-10-16,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",18.0
529,s557,忍者ハットリくん,,Japan,2018-12-23,TV-Y7,2 Seasons,"Anime Series, Kids' TV",694.0
531,s559,Apache: The Life of Carlos Tevez,,Argentina,2019-08-16,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",8.0
532,s560,Apaches,,Spain,2017-09-08,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",20.0
538,s566,Aquarius,,United States,2017-06-16,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas",26.0
542,s570,ARASHI's Diary -Voyage-,,Japan,2019-12-31,TV-PG,1 Season,"Docuseries, International TV Shows",20.0
546,s575,Are You The One,,United States,2020-12-01,TV-14,2 Seasons,Reality TV,40.0
547,s576,Ares,,Netherlands,2020-01-17,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror",8.0
548,s577,Argon,,South Korea,2017-11-22,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",8.0
550,s579,Ari Shaffir: Double Negative,Eric Abrams,United States,2017-07-18,TV-MA,1 Season,Stand-Up Comedy & Talk Shows,20.0
555,s584,Arrested Development,,United States,2018-05-29,TV-MA,5 Seasons,TV Comedies,84.0
556,s585,Arrow,James Bamford,United States,2020-02-05,TV-14,8 Seasons,"Crime TV Shows, TV Action & Adventure",170.0
558,s587,Arthdal Chronicles,,South Korea,2019-06-02,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Action & Adventure",30.0
567,s596,Ash vs. Evil Dead,,United States,2019-04-29,TV-MA,3 Seasons,"TV Action & Adventure, TV Comedies, TV Horror",30.0
568,s597,Ashes of Love,,China,2018-12-16,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",63.0
569,s598,Ask the Doctor,,Australia,2018-10-19,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV",24.0
570,s599,Ask the StoryBots,,United States,2019-08-02,TV-Y,3 Seasons,Kids' TV,22.0
575,s604,Astronomy Club: The Sketch Show,,United States,2019-12-06,TV-MA,1 Season,TV Comedies,6.0
581,s610,At the Dolphin Bay,,Taiwan,2019-11-15,TV-14,1 Season,"International TV Shows, Romantic TV Shows",20.0
582,s611,Atelier,,Japan,2015-12-01,TV-PG,1 Season,"International TV Shows, TV Dramas",20.0
587,s616,Atomic Puppet,,"Canada, France",2017-12-01,TV-Y7,1 Season,"Crime TV Shows, Kids' TV, TV Comedies",57.0
588,s617,Attack on Titan,,Japan,2019-02-24,TV-MA,1 Season,"Anime Series, International TV Shows",98.0
591,s620,Atypical,,United States,2019-11-01,TV-14,3 Seasons,"TV Comedies, TV Dramas, Teen TV Shows",38.0
593,s622,Aunty Donna's Big Ol' House of Fun,,Australia,2020-11-11,TV-MA,1 Season,TV Comedies,6.0
596,s625,Aussie Gold Hunters,,Australia,2017-08-01,TV-MA,1 Season,"Docuseries, International TV Shows, Reality TV",147.0
602,s631,Autumn's Concerto,,Taiwan,2016-08-01,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",21.0
604,s633,Avatar: The Last Airbender,,United States,2020-05-15,TV-Y7,3 Seasons,"Classic & Cult TV, Kids' TV, TV Action & Adventure",62.0
611,s640,Awake: The Million Dollar Game,,United States,2019-06-14,TV-PG,1 Season,Reality TV,8.0
612,s641,Away,,United States,2020-09-04,TV-14,1 Season,"Romantic TV Shows, TV Dramas, TV Sci-Fi & Fantasy",20.0
622,s652,B: The Beginning,,Japan,2018-03-02,TV-MA,1 Season,"Anime Series, Crime TV Shows, International TV Shows",18.0
633,s668,Babies,,United States,2020-06-19,TV-14,2 Seasons,"Docuseries, Science & Nature TV",20.0
634,s669,Baby,,Italy,2020-09-16,TV-MA,3 Seasons,"International TV Shows, TV Dramas, Teen TV Shows",18.0
635,s670,Baby Ballroom,,United Kingdom,2018-07-10,TV-MA,2 Seasons,"British TV Shows, International TV Shows, Reality TV",15.0
638,s673,Babylon Berlin,,Germany,2020-03-01,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",48.0
642,s677,Back Street Girls -GOKUDOLS-,,Japan,2018-12-12,TV-MA,1 Season,"Anime Series, International TV Shows",20.0
643,s678,Back to 1989,,Taiwan,2016-12-01,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",34.0
649,s686,Bad Blood,,Canada,2019-05-31,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas",14.0
650,s687,Bad Boy Billionaires: India,,India,2020-10-05,TV-14,1 Season,"British TV Shows, Docuseries, International TV Shows",3.0
654,s691,Bad Education,,United Kingdom,2018-12-15,TV-MA,3 Seasons,"British TV Shows, TV Comedies",33.0
657,s694,Bad Guys,,South Korea,2019-08-08,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",11.0
658,s695,Bad Guys: Vile City,,South Korea,2018-03-08,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",16.0
662,s699,Badalte Rishton Ki Dastaan,,India,2017-04-01,TV-14,1 Season,"International TV Shows, TV Dramas",74.0
666,s704,BAKI,,Japan,2020-06-04,TV-MA,3 Seasons,"Anime Series, International TV Shows",40.0
667,s706,Bakugan: Battle Planet,,"Japan, Canada, United States",2020-11-06,TV-PG,1 Season,"Anime Series, Kids' TV",173.0
668,s708,Bala Loca,,Chile,2017-04-01,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",10.0
681,s722,Bangkok Buddies,,Thailand,2019-11-20,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",13.0
683,s725,Bangkok Love Stories: Innocence,,Thailand,2019-07-31,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",13.0
684,s726,Bangkok Love Stories: Objects of Affection,,Thailand,2019-07-02,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",13.0
685,s727,Bangkok Love Stories: Plead,,Thailand,2019-07-02,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",13.0
690,s732,Barbarians,,Germany,2020-10-23,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas",12.0
694,s736,Barbie Dreamhouse Adventures,,"United States, Canada",2019-02-14,TV-Y,3 Seasons,Kids' TV,52.0
698,s741,Barbie Life in the Dreamhouse,,"United States, Canada",2017-07-01,TV-Y,1 Season,"Kids' TV, TV Comedies",20.0
708,s751,Bard of Blood,,India,2019-09-27,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas",8.0
717,s760,Basketball or Nothing,,United States,2019-08-02,TV-PG,1 Season,"Docuseries, Reality TV",6.0
718,s761,Bat Pat,,Italy,2017-12-31,TV-Y,1 Season,Kids' TV,53.0
719,s762,Bates Motel,,United States,2018-02-20,TV-MA,5 Seasons,"Crime TV Shows, TV Dramas, TV Horror",50.0
724,s767,Battle Creek,,United States,2015-12-31,TV-14,1 Season,"Crime TV Shows, TV Comedies, TV Dramas",13.0
726,s769,Battlefield Recovery,,United Kingdom,2016-08-01,TV-PG,1 Season,"British TV Shows, Docuseries, Reality TV",4.0
734,s778,Be with Me,,Taiwan,2016-10-01,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",20.0
735,s779,Be with You,,Taiwan,2016-10-01,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",20.0
736,s780,Be-Be-Bears,,Russia,2018-08-29,TV-Y,1 Season,Kids' TV,183.0
740,s784,Beast Legends,,Canada,2019-02-01,TV-PG,1 Season,Docuseries,6.0
741,s785,BEASTARS,,Japan,2020-03-13,TV-MA,1 Season,"Anime Series, International TV Shows",36.0
743,s787,Beat Bugs,,"Australia, Canada",2019-07-21,TV-Y,3 Seasons,Kids' TV,81.0
745,s789,Beating Again,,South Korea,2017-05-22,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",16.0
748,s792,Beauty & the Beast,,Canada,2016-09-19,TV-14,4 Seasons,"Crime TV Shows, Romantic TV Shows, TV Dramas",20.0
753,s798,Because This Is My First Life,,South Korea,2020-01-01,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",16.0
756,s801,Becoming Champions,,Mexico,2018-08-01,TV-G,1 Season,"Docuseries, International TV Shows",9.0
760,s806,Before 30,BB Sasore,Nigeria,2020-11-24,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",8.0
766,s812,Behind Enemy Lines,,United States,2016-08-15,TV-14,1 Season,"British TV Shows, Docuseries",20.0
769,s816,Behzat Ç.,,Turkey,2017-05-19,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",105.0
773,s820,Being Mary Jane: The Series,,United States,2017-07-01,TV-14,4 Seasons,"Romantic TV Shows, TV Dramas",20.0
779,s826,Bella and the Bulldogs,,United States,2019-11-02,TV-G,1 Season,"Kids' TV, TV Comedies",40.0
782,s829,Ben & Holly's Little Kingdom,,United Kingdom,2020-03-15,TV-Y,1 Season,Kids' TV,105.0
783,s830,Ben 10,,United States,2018-09-30,TV-Y7,1 Season,Kids' TV,52.0
802,s850,Best Leftovers Ever!,,United States,2020-12-30,TV-G,1 Season,Reality TV,8.0
803,s851,Best Lover,,"South Korea, China",2018-02-23,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",20.0
806,s856,Best.Worst.Weekend.Ever.,,United States,2018-10-19,TV-PG,1 Season,"Kids' TV, TV Comedies",8.0
807,s857,Betaal,,India,2020-05-24,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Horror",4.0
809,s859,Better Call Saul,,United States,2020-02-09,TV-MA,4 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",63.0
810,s860,Better Than Us,,Russia,2019-08-16,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",16.0
813,s863,Between,,Canada,2016-07-01,TV-14,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",12.0
819,s869,Beyblade Burst,,Japan,2017-10-01,TV-Y7,1 Season,"Anime Series, Kids' TV",387.0
820,s871,Beyblade Burst Rise,,Japan,2020-11-15,TV-Y7,1 Season,"Anime Series, Kids' TV",38.0
821,s873,Beyblade: Metal Fusion,,Japan,2017-12-15,TV-Y7,1 Season,"Anime Series, Kids' TV",147.0
825,s877,Beyond Stranger Things,,United States,2017-10-27,TV-14,1 Season,"Stand-Up Comedy & Talk Shows, TV Mysteries, TV Sci-Fi & Fantasy",7.0
827,s880,Bh Se Bhade,,India,2018-04-01,TV-PG,1 Season,"International TV Shows, TV Comedies",33.0
828,s881,Bhaag Beanie Bhaag,,India,2020-12-04,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",6.0
829,s882,Bhaage Re Mann,,India,2017-04-15,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",1.0
845,s900,Big Bad Beetleborgs,,"United States, France, Japan",2016-01-01,TV-G,2 Seasons,"Kids' TV, TV Comedies",89.0
848,s903,"Big Dreams, Small Spaces",,United Kingdom,2019-07-26,TV-G,3 Seasons,"British TV Shows, International TV Shows, Reality TV",17.0
852,s907,Big Mouth,,United States,2020-12-04,TV-MA,4 Seasons,TV Comedies,81.0
869,s925,Bill Nye Saves the World,,United States,2018-05-11,TV-14,3 Seasons,Stand-Up Comedy & Talk Shows,25.0
874,s930,Billy on the Street,,United States,2019-11-01,TV-14,4 Seasons,"International TV Shows, Reality TV, TV Comedies",55.0
876,s932,Biohackers,,Germany,2020-08-20,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",12.0
885,s941,Bitten,,Canada,2016-05-26,TV-MA,3 Seasons,"International TV Shows, TV Dramas, TV Horror",33.0
886,s942,Bitter Daisies,Miguel Conde,Spain,2019-03-29,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",12.0
892,s948,Black Butler,,Japan,2020-09-30,TV-MA,3 Seasons,"Anime Series, International TV Shows",43.0
893,s949,Black Crows,,"Saudi Arabia, Syria, Egypt, Lebanon, Kuwait",2018-04-30,TV-14,1 Season,"International TV Shows, TV Dramas",30.0
894,s950,Black Earth Rising,,United Kingdom,2019-01-25,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Dramas",8.0
897,s953,Black Heart,,Turkey,2018-10-12,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",5.0
898,s954,Black Ink Crew New York,,United States,2020-12-15,TV-14,2 Seasons,Reality TV,177.0
899,s955,Black Lightning,,United States,2020-03-17,TV-14,3 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",58.0
901,s957,Black Mirror,,United Kingdom,2019-06-05,TV-MA,5 Seasons,"British TV Shows, International TV Shows, TV Dramas",33.0
903,s959,Black Money Love,Ahmet Katıksız,Turkey,2019-10-15,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",54.0
910,s966,Black Spot,,"France, Belgium",2019-06-14,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",16.0
911,s967,Black Summer,,"Canada, United States",2019-04-11,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Horror",16.0
917,s973,Blazing Transfer Students,,Japan,2017-11-10,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",8.0
918,s974,Bleach,,Japan,2020-04-21,TV-14,5 Seasons,"Anime Series, International TV Shows",386.0
928,s985,Blood & Treasures,,Thailand,2018-07-14,TV-14,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",18.0
929,s986,Blood & Water,,South Africa,2020-05-20,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",25.0
932,s989,Blood of Zeus,,United States,2020-10-27,TV-MA,1 Season,Anime Series,17.0
933,s990,Blood Pact,,Brazil,2018-10-10,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",133.0
935,s992,Bloodline,,United States,2017-05-26,TV-MA,3 Seasons,"TV Dramas, TV Mysteries, TV Thrillers",33.0
